n_estimators,max_depth,f1_macro,f1_std,latency_ms,is_pareto
500,22,0.9349244365487275,0.0006195600655253082,0.0073904265174727785,false
100,7,0.9225698353636643,0.0014311961080487386,0.001169024187159167,false
50,10,0.9270651147784017,0.000734208575255915,0.0008189658379970337,true
50,29,0.9359997367033275,0.00031487793585953356,0.001100285717544737,true
250,6,0.9211668993717256,0.0005867997914883682,0.002654927883380716,false
500,3,0.910691014064124,0.0014108542418799954,0.006329864173240402,false
350,23,0.9355744848064246,0.00011529601864030225,0.007473739347901101,false
600,5,0.915820152689086,0.0006469351827276519,0.005166342623796418,false
150,26,0.9358360148227803,0.0005101779746119322,0.0028247493284539508,false
250,22,0.9350428211954505,0.0005136945627814231,0.004300634073032172,false
350,12,0.9282143082256461,0.0009567591146666239,0.00476404616147928,false
550,5,0.915820152689086,0.0006469351827276519,0.004805261769925116,false
200,26,0.9361466318144515,0.0003095206333935542,0.004592136402778253,false
400,20,0.9340511775240431,0.0010137373955892517,0.0070164594019655425,false
400,6,0.9209893220239226,0.0009528367376161079,0.0062638582020195545,false
350,10,0.926430768725958,0.0007616189342314929,0.004412478604550112,false
300,8,0.924263911151471,0.0007678660928021318,0.0035611143543149044,false
200,26,0.9361466318144515,0.0003095206333935542,0.003659769711592259,true
500,13,0.9293424164299413,0.001131052472669689,0.006961342954587622,false
250,18,0.9332853506750983,0.0013437690411945307,0.00408251192818596,false
550,11,0.9269213932025719,0.0008956307229174476,0.006986382340693198,false
550,10,0.9263482458863423,0.0007814613080868916,0.006805104584781621,false
300,28,0.936337816185295,0.0005238715077474398,0.006564273181968579,true
600,29,0.9360753006987732,0.0005381573031706658,0.0109542659047216,false
350,16,0.9319512973268086,0.0017467655630133976,0.005324427897640239,false
200,8,0.9239326225847696,0.0008931402964588491,0.0023033863899447646,false
400,14,0.9301875575906539,0.001091620175163189,0.005793791417864008,false
250,2,0.888401797979519,0.0025604740559036616,0.0019423454696837733,false
200,9,0.9263308096150866,0.0009209093741824966,0.0025780033363565374,false
600,27,0.9360882850263262,0.0004910703559886417,0.01088370273923008,false
100,10,0.9267472529087467,0.0005479059662803236,0.0013200021557990334,false
150,4,0.9127743805775222,0.0017513533805135692,0.0013693156877209647,false
150,5,0.9162680793411789,0.0013029388065770612,0.001584783518970881,false
300,14,0.9301777772391843,0.0010592332038068665,0.004350825847920226,false
100,25,0.9360273382927483,0.00040238512675453683,0.0019098874707026104,true
550,8,0.9242720960051599,0.0006799715142471135,0.006081353887564332,false
550,16,0.9316277515431096,0.0019892318513937885,0.008394413964789293,false
300,26,0.9361603695436568,0.00042699556928666,0.0054057960773635436,true
250,15,0.9307053639560067,0.001363873632633774,0.003842835332300046,false
450,24,0.9357420997167004,0.00043866713172801696,0.0075140258867065915,false
500,30,0.9360311716666345,0.0004420749851929169,0.009356854831441656,false
150,10,0.9265385955917568,0.0008516405759494215,0.0020646110607307755,false
550,15,0.9306111747785725,0.001716493915650557,0.008101777342436884,false
500,15,0.9306305918846233,0.001675872294145319,0.007515738241488556,false
100,9,0.9260712192262606,0.0009679379730957482,0.0013490569803967748,false
100,9,0.9260712192262606,0.0009679379730957482,0.001362074660235789,false
350,23,0.9355744848064246,0.00011529601864030225,0.006032067622518261,false
50,23,0.9355160912185564,0.000598255513389266,0.0009937091781132897,true
350,7,0.9227906102145825,0.000979387140985723,0.0037887589497023304,false
500,20,0.9342539617544247,0.001040077913023844,0.008403660147941722,false
