iter	Passed	Remaining
417	2680	1167
418	2687	1160
419	2693	1154
420	2699	1147
421	2706	1141
422	2712	1135
423	2718	1128
424	2725	1122
425	2731	1115
426	2738	1109
427	2744	1102
428	2750	1096
429	2756	1089
430	2763	1083
431	2769	1077
432	2776	1070
433	2782	1064
434	2788	1057
435	2795	1051
436	2801	1044
437	2808	1038
438	2814	1032
439	2820	1025
440	2827	1019
441	2833	1012
442	2839	1006
443	2846	999
444	2852	993
445	2858	987
446	2864	980
447	2871	974
448	2877	967
449	2883	961
450	2890	954
451	2896	948
452	2902	941
453	2909	935
454	2915	929
455	2921	922
456	2928	916
457	2934	909
458	2940	903
459	2946	896
460	2953	890
461	2959	884
462	2965	877
463	2972	871
464	2978	864
465	2984	858
466	2991	851
467	2997	845
468	3003	838
469	3010	832
470	3016	826
471	3022	819
472	3028	813
473	3035	806
474	3041	800
475	3047	793
476	3054	787
477	3060	781
478	3066	774
479	3072	768
480	3079	761
481	3085	755
482	3091	748
483	3098	742
484	3104	736
485	3110	729
486	3116	723
487	3123	716
488	3129	710
489	3135	703
490	3142	697
491	3148	691
492	3154	684
493	3160	678
494	3167	671
495	3173	665
496	3180	659
497	3186	652
498	3192	646
499	3198	639
500	3205	633
501	3211	626
502	3217	620
503	3224	614
504	3230	607
505	3236	601
506	3242	594
507	3249	588
508	3255	582
509	3261	575
510	3268	569
511	3274	562
512	3280	556
513	3287	550
514	3294	543
515	3300	537
516	3307	530
517	3314	524
518	3320	518
519	3327	511
520	3333	505
521	3340	499
522	3347	492
523	3353	486
524	3360	480
525	3367	473
526	3373	467
527	3380	460
528	3386	454
529	3393	448
530	3400	441
531	3406	435
532	3413	429
533	3420	422
534	3426	416
535	3433	409
536	3439	403
537	3446	397
538	3453	390
539	3459	384
540	3466	378
541	3472	371
542	3479	365
543	3485	358
544	3492	352
545	3499	346
546	3505	339
547	3512	333
548	3519	326
549	3525	320
550	3532	314
551	3538	307
552	3545	301
553	3552	294
554	3558	288
555	3565	282
556	3572	275
557	3578	269
558	3585	262
559	3591	256
560	3598	250
561	3605	243
562	3611	237
563	3618	230
564	3624	224
565	3631	218
566	3638	211
567	3645	205
568	3651	198
569	3658	192
570	3664	186
571	3671	179
572	3678	173
573	3684	166
574	3691	160
575	3698	154
576	3704	147
577	3711	141
578	3717	134
579	3724	128
580	3730	122
581	3737	115
582	3744	109
583	3750	102
584	3757	96
585	3763	89
586	3770	83
587	3777	77
588	3783	70
589	3790	64
590	3796	57
591	3803	51
592	3809	44
593	3816	38
594	3823	32
595	3829	25
596	3836	19
597	3842	12
598	3849	6
599	3855	0
