iter	Logloss
0	0.4889632024
1	0.3757110252
2	0.289305219
3	0.2494988337
4	0.2205091169
5	0.19546555
6	0.178925046
7	0.1701907038
8	0.1628735556
9	0.1555513391
10	0.1518663098
11	0.1483626347
12	0.1449098538
13	0.1424553843
14	0.139998052
15	0.1381146461
16	0.1369959888
17	0.1358190411
18	0.1345868105
19	0.1336129046
20	0.1328789331
21	0.1315278047
22	0.1304887802
23	0.1299832697
24	0.1294890207
25	0.1290554682
26	0.1285496346
27	0.1279213165
28	0.1275524705
29	0.12718182
30	0.1268366667
31	0.1263162633
32	0.125860054
33	0.1256094597
34	0.1252364923
35	0.1246244483
36	0.1242811552
37	0.1240667181
38	0.1237220215
39	0.1234922014
40	0.1231867921
41	0.1228583807
42	0.1225889169
43	0.1224212526
44	0.1220149349
45	0.1218182534
46	0.1214641443
47	0.1213558954
48	0.1212044495
49	0.1209931313
50	0.1206315257
51	0.1203842174
52	0.1201369759
53	0.1197299231
54	0.1194556139
55	0.1192201575
56	0.1188865442
57	0.1187954048
58	0.1186795257
59	0.1185088093
60	0.1183694268
61	0.1180841123
62	0.1178782968
63	0.1177337904
64	0.1175196541
65	0.1173545963
66	0.1171309695
67	0.1169908742
68	0.1168860004
69	0.1167565652
70	0.1165913291
71	0.1163902588
72	0.1162435024
73	0.1161282582
74	0.1160361275
75	0.1158675943
76	0.1155421792
77	0.1151070561
78	0.1149544628
79	0.114869617
80	0.1147670045
81	0.1145785213
82	0.1144360534
83	0.1141590151
84	0.11403457
85	0.1138498073
86	0.1136915331
87	0.1135911929
88	0.1135007887
89	0.1133637344
90	0.1132208543
91	0.1130673031
92	0.1128985805
93	0.1126583455
94	0.112425362
95	0.112360377
96	0.112318951
97	0.1121343442
98	0.1120221632
99	0.1118716752
100	0.1117864395
101	0.1116876365
102	0.1115204734
103	0.1114606681
104	0.111354892
105	0.1112406504
106	0.1111074724
107	0.1109926626
108	0.1108559535
109	0.1107032043
110	0.1105241447
111	0.1103621835
112	0.1102843776
113	0.1101025221
114	0.1099818532
115	0.1098192682
116	0.1096817795
117	0.1095927119
118	0.1094549113
119	0.1093171217
120	0.1092635208
121	0.1091084324
122	0.1090056416
123	0.1088784007
124	0.1088081358
