iter	Passed	Remaining
406	6693	1529
407	6709	1513
408	6726	1496
409	6742	1480
410	6759	1463
411	6775	1447
412	6792	1430
413	6809	1414
414	6825	1397
415	6842	1381
416	6858	1365
417	6875	1348
418	6891	1332
419	6907	1315
420	6924	1299
421	6940	1282
422	6957	1266
423	6973	1249
424	6990	1233
425	7006	1217
426	7022	1200
427	7039	1184
428	7055	1167
429	7072	1151
430	7088	1134
431	7105	1118
432	7121	1101
433	7137	1085
434	7154	1069
435	7170	1052
436	7187	1036
437	7203	1019
438	7219	1003
439	7236	986
440	7252	970
441	7268	953
442	7285	937
443	7301	920
444	7318	904
445	7334	888
446	7351	871
447	7368	855
448	7384	838
449	7400	822
450	7417	805
451	7433	789
452	7450	772
453	7466	756
454	7483	740
455	7500	723
456	7516	707
457	7533	690
458	7550	674
459	7568	658
460	7585	641
461	7602	625
462	7618	608
463	7635	592
464	7651	575
465	7669	559
466	7686	543
467	7702	526
468	7719	510
469	7736	493
470	7752	477
471	7769	460
472	7788	444
473	7805	428
474	7822	411
475	7838	395
476	7855	378
477	7871	362
478	7888	345
479	7905	329
480	7921	312
481	7938	296
482	7954	279
483	7971	263
484	7987	247
485	8003	230
486	8020	214
487	8036	197
488	8053	181
489	8069	164
490	8086	148
491	8103	131
492	8119	115
493	8136	98
494	8153	82
495	8169	65
496	8186	49
497	8202	32
498	8217	16
499	8232	0
