iter	Logloss
0	0.4971906528
1	0.3987645859
2	0.3157260798
3	0.2717834685
4	0.2364974045
5	0.209422773
6	0.1890049915
7	0.1804142647
8	0.1717382018
9	0.1665893508
10	0.1613141723
11	0.156639041
12	0.153292749
13	0.1493835806
14	0.1477755644
15	0.145720083
16	0.144338456
17	0.1432415198
18	0.1423792046
19	0.1415120661
20	0.1408177717
21	0.1398786864
22	0.13885089
23	0.1381113155
24	0.1372243608
25	0.1362785029
26	0.1356850722
27	0.1350264003
28	0.1344113154
29	0.1339480663
30	0.1334844162
31	0.1328063847
32	0.1320851004
33	0.1316972178
34	0.1310302363
35	0.1307754983
36	0.1302696202
37	0.1299660153
38	0.1293145727
39	0.1291551289
40	0.1289239944
41	0.1287054916
42	0.1284828228
43	0.128023439
44	0.1274718575
45	0.1270840752
46	0.1267348004
47	0.1265883781
48	0.1264294022
49	0.1262416988
50	0.1258313488
51	0.1256674828
52	0.1254411605
53	0.1251602569
54	0.1248926534
55	0.1247433127
56	0.1244223198
57	0.1242622523
58	0.1240226633
59	0.1238836931
60	0.1237465941
61	0.1235980332
62	0.1234460859
63	0.1232997639
64	0.1231127845
65	0.1229639339
66	0.122760569
67	0.1225004175
68	0.1224275795
69	0.1222697286
70	0.1220250603
71	0.1218677329
72	0.1217819403
73	0.1216767992
74	0.1215951725
75	0.1214572047
76	0.1213100918
77	0.1210448386
78	0.120918344
79	0.1207879731
80	0.1206653103
81	0.1205250367
82	0.1203647019
83	0.1202153834
84	0.1200604955
85	0.12000108
86	0.1198942012
87	0.1197562112
88	0.1196300619
89	0.119523896
90	0.1194248034
91	0.1193009376
92	0.1192121931
93	0.1190838717
94	0.1189191369
95	0.1188098298
96	0.1187284148
97	0.1185773699
98	0.1185036853
99	0.1183818468
100	0.1183245478
101	0.118230011
102	0.1181366772
103	0.118059094
104	0.1178293186
105	0.1177768316
106	0.1176934227
107	0.1175160117
108	0.1174359556
109	0.1173220592
110	0.117253287
111	0.1171723844
112	0.1170952133
113	0.1170110692
114	0.1169262234
115	0.1168311408
116	0.1167491466
117	0.1166417665
118	0.1165317577
119	0.1164612923
120	0.1164139404
121	0.1163741964
122	0.1163062484
123	0.1161689601
124	0.1160748355
125	0.1159808557
126	0.115927032
127	0.1158490812
128	0.1157740934
129	0.11569641
130	0.1155787709
131	0.1154890796
132	0.1154458602
133	0.1153667176
134	0.1153102094
135	0.1152062713
136	0.1151242213
137	0.1150407679
138	0.1149677851
139	0.1149434018
140	0.1148246265
141	0.114773298
142	0.1146577196
143	0.114584024
144	0.1145395236
145	0.1144468805
146	0.1143677824
147	0.1142776121
148	0.1142295138
149	0.1141808921
150	0.1140968928
151	0.1140558121
152	0.1140108997
153	0.113915973
154	0.1137818816
155	0.1137116279
156	0.1136170688
157	0.1135741614
158	0.1134882796
159	0.113406018
160	0.1133782262
161	0.1133025589
162	0.1132261342
163	0.1131137973
164	0.1130387315
165	0.1129879822
166	0.1129283105
167	0.1128666004
168	0.1128150045
169	0.1127515901
170	0.1126808017
171	0.1126237923
172	0.112584427
173	0.1125484926
174	0.1124508591
175	0.1123399146
176	0.1122484634
177	0.1121407714
178	0.1120334471
179	0.1119629594
180	0.1119343656
181	0.1118854876
182	0.1117970216
183	0.1117050022
184	0.1116551329
185	0.1116012869
186	0.111533985
187	0.111454252
188	0.1114019989
189	0.1113518065
190	0.1112683197
191	0.1112178934
192	0.111166743
193	0.1111529195
194	0.1111253505
195	0.111052635
196	0.1110043808
197	0.1109621974
198	0.1109376693
199	0.1108671928
200	0.1108264686
201	0.1107947558
202	0.1107315531
203	0.1106338863
204	0.1105834934
205	0.1105241782
206	0.1104723595
207	0.1104381182
208	0.11035501
209	0.1103077695
210	0.1102518405
211	0.1101708822
212	0.1101181056
213	0.1100846551
214	0.1100424494
215	0.1100168186
216	0.1099714828
217	0.1099556877
218	0.109924621
219	0.1099060523
220	0.1098384608
221	0.1097835677
222	0.1097432111
223	0.1096938207
224	0.1096371343
225	0.1095733858
226	0.1095101496
227	0.1094428811
228	0.1094032485
229	0.1093793888
230	0.109337495
231	0.1092899537
232	0.1092333898
233	0.1091572212
234	0.1090911001
235	0.1090481815
236	0.1089758225
237	0.1089142237
238	0.1088751815
239	0.1088367854
240	0.1088161671
241	0.1087662643
242	0.1087402436
243	0.1086793132
244	0.1086408947
245	0.108585467
246	0.1085630553
247	0.1085292485
248	0.1085143779
249	0.108486419
