iter	Logloss
0	0.5259631834
1	0.3936267553
2	0.3115218071
3	0.2658611556
4	0.2277028561
5	0.2094850206
6	0.1903549974
7	0.1742451975
8	0.1655230355
9	0.1587095665
10	0.1550146185
11	0.15156529
12	0.14805529
13	0.1447285983
14	0.1420654642
15	0.1406684701
16	0.1390083858
17	0.1379923345
18	0.136828384
19	0.1358232095
20	0.1339675584
21	0.1328854039
22	0.132018925
23	0.1315002118
24	0.1306133611
25	0.1301966056
26	0.129872166
27	0.129234683
28	0.1286656864
29	0.1283262453
30	0.1277054562
31	0.1273660093
32	0.1267206012
33	0.1262798968
34	0.1260217931
35	0.12566329
36	0.1253501684
37	0.1249779014
38	0.1246210953
39	0.1244234985
40	0.1241940445
41	0.1238209739
42	0.1234711243
43	0.1231622222
44	0.1227429826
45	0.1222944294
46	0.1220802791
47	0.1216531368
48	0.121387584
49	0.1212033593
50	0.1209474109
51	0.1207308677
52	0.1205603367
53	0.1201951346
54	0.1199777527
55	0.1196690806
56	0.119449159
57	0.1192783365
58	0.1189908093
59	0.1188325247
60	0.1186419334
61	0.1185117577
62	0.118294344
63	0.1181308545
64	0.1180364372
65	0.1178274583
66	0.117714785
67	0.1174558648
68	0.1173422131
69	0.1170437856
70	0.116821479
71	0.1166954937
72	0.1165963953
73	0.1164066628
74	0.1162349351
75	0.1160491895
76	0.1159237552
77	0.1156918951
78	0.1154980487
79	0.1153337713
80	0.1151753241
81	0.1150766873
82	0.1149077305
83	0.1147447345
84	0.1146163603
85	0.1144729958
86	0.1142988675
87	0.1141943587
88	0.1140429221
89	0.113970597
90	0.1138456925
91	0.1136937969
92	0.1135743439
93	0.1135405107
94	0.1134383432
95	0.1133710654
96	0.1131825254
97	0.1129789093
98	0.1128735111
99	0.1127863829
100	0.1126590516
101	0.1125249182
102	0.1123695795
103	0.1122159184
104	0.1121112295
105	0.1119721141
106	0.1118337955
107	0.1117155642
108	0.1115807812
109	0.1114563006
110	0.1113900075
111	0.1112696212
112	0.1111461374
113	0.1110516711
114	0.1109594687
115	0.1108427388
116	0.1107192338
117	0.1105156227
118	0.1104040909
119	0.1102692655
120	0.1102076141
121	0.1101392273
122	0.1100163889
123	0.1098900657
124	0.1098086672
125	0.109631062
126	0.1095477144
127	0.1094698716
128	0.1093037024
129	0.1091477851
130	0.1090226523
131	0.1089102206
132	0.1088241244
133	0.1087620465
134	0.1086194961
135	0.1085632467
136	0.1084235078
137	0.1082887099
138	0.1082370145
139	0.1081664233
140	0.1080659525
141	0.1079670665
142	0.1078482182
143	0.1077695262
144	0.107593742
145	0.1074650798
146	0.1073656351
147	0.1072660796
148	0.1071801005
149	0.1070511703
150	0.106882431
151	0.1067397711
152	0.1065574648
153	0.1064617796
154	0.1063411413
155	0.1062917335
156	0.106205464
157	0.1061326957
158	0.1060402397
159	0.1059996595
160	0.1058813462
161	0.1057640371
162	0.105724275
163	0.105661708
164	0.1055626809
165	0.1054037484
166	0.1052630906
167	0.1051742176
168	0.1050059642
169	0.10491875
170	0.1048373565
171	0.10477283
172	0.1047282562
173	0.1046370364
174	0.1045998565
175	0.1044879922
176	0.104442267
177	0.1043728908
178	0.1042896784
179	0.104165421
180	0.1041085648
181	0.1039982828
182	0.1038512447
183	0.103722191
184	0.1036945189
185	0.1036268446
186	0.1035508139
187	0.1034524272
188	0.1033146308
189	0.1032202006
190	0.1030785611
191	0.1030127806
192	0.1029255015
193	0.1028932914
194	0.1027381512
195	0.1026513938
196	0.102623324
197	0.1025029509
198	0.1023753644
199	0.102343329
200	0.1022522739
201	0.1022150562
202	0.1020678602
203	0.1019546961
204	0.1018326301
205	0.1017415113
206	0.1015887648
207	0.1014903944
208	0.1013887453
209	0.1013161904
210	0.101212471
211	0.1011080071
212	0.1010186207
213	0.1009060779
214	0.1007770093
215	0.1006624885
216	0.1005981944
217	0.1005155813
218	0.100381496
219	0.1003125804
220	0.1002353716
221	0.1001822243
222	0.100094906
223	0.1000165976
224	0.09998148965
225	0.09990152813
226	0.09977716993
227	0.0996740022
228	0.099589791
229	0.09948170108
230	0.09938113687
231	0.09926297506
232	0.09915585195
233	0.09905933097
234	0.09897831687
235	0.09886312085
236	0.09874102423
237	0.09868259918
238	0.09858021882
239	0.09851495068
240	0.09843672556
241	0.0983767247
242	0.0983098773
243	0.09821134689
244	0.09812506679
245	0.0980418688
246	0.09799127401
247	0.09790342976
248	0.09780395374
249	0.09769815522
250	0.09761821839
251	0.09752237289
252	0.09747649269
253	0.0974189966
254	0.09732322815
255	0.09725929677
256	0.09719826991
257	0.09709450098
258	0.09704700341
259	0.09693978856
260	0.09684842602
261	0.09681428069
262	0.09673084704
263	0.09669765405
264	0.09662032976
265	0.09652570201
266	0.09647655626
267	0.09642792727
268	0.096345511
269	0.09628093999
270	0.09619766462
271	0.0961710289
272	0.09610373172
273	0.09604184135
274	0.09594686182
275	0.09587226606
276	0.09575610306
277	0.09568591761
278	0.09564651507
279	0.09557839442
280	0.09550223392
281	0.09543779403
282	0.09529193344
283	0.09520223488
284	0.09510099897
285	0.09503601159
286	0.09497041792
287	0.09489706181
288	0.09478405194
289	0.09476148513
290	0.09468218391
291	0.09462050432
292	0.09459693242
293	0.09453565691
294	0.09442026816
295	0.09437250096
296	0.094306707
297	0.0942446937
298	0.09422804869
299	0.09415629199
300	0.0940768688
301	0.09406631174
302	0.09398676265
303	0.09391350339
304	0.09382565136
305	0.09369155321
306	0.09364678647
307	0.09362362508
308	0.09351604441
309	0.09344218744
310	0.09337105002
311	0.09334914786
312	0.09324369236
313	0.09316287825
314	0.09305945242
315	0.09301075418
316	0.09293209262
317	0.09291449934
318	0.09288944711
319	0.09283315546
320	0.09275808874
321	0.09270056383
322	0.09268520022
323	0.09262718592
324	0.09259914576
325	0.09249345293
326	0.09241377939
327	0.09234135592
328	0.09230395579
329	0.09220628239
330	0.09213122423
331	0.09210231998
332	0.09204675979
333	0.09193906861
334	0.09186480606
335	0.09180323321
336	0.09175350792
337	0.09171571873
338	0.09165416149
339	0.09163481968
340	0.0915644926
341	0.09146671855
342	0.09140307964
343	0.09138484245
344	0.09136902368
345	0.09133176752
346	0.09130371586
347	0.0912793683
348	0.09126818639
349	0.09118782753
350	0.09112794941
351	0.09103454869
352	0.09093655333
353	0.09091175081
354	0.09083336929
355	0.0907274976
356	0.09067252065
357	0.09057824534
358	0.09056641006
359	0.09048470379
360	0.09041018082
361	0.09030389866
362	0.09022227906
363	0.09013644709
364	0.0900692147
365	0.09004861019
366	0.09000719827
367	0.08992881748
368	0.08991501257
369	0.08984775499
370	0.08982007247
371	0.08980143239
372	0.08973209976
373	0.08969735083
374	0.0896253981
375	0.08959571132
376	0.08950856261
377	0.08944156082
378	0.08938699517
379	0.08932559808
380	0.08924783843
381	0.08918261737
382	0.089087691
383	0.08897589358
384	0.08890010825
385	0.08884392694
386	0.08880358465
387	0.08873706413
388	0.08870419522
389	0.08866702215
390	0.08860122546
391	0.08852535197
392	0.08846620975
393	0.08840637345
394	0.08831789455
395	0.08826087043
396	0.08816910933
397	0.08809915855
398	0.08805592262
399	0.08796794736
400	0.08789398703
401	0.08786465281
402	0.08781266576
403	0.08776847391
404	0.08769330835
405	0.08766178537
406	0.08760513263
407	0.08757134585
408	0.08748393229
409	0.08741731736
410	0.08740074113
411	0.08731382759
412	0.08728019566
413	0.08720521241
414	0.08715515148
415	0.08710778659
416	0.08706302326
417	0.08698535953
418	0.08696798677
419	0.08694462778
420	0.0869207393
421	0.08683697529
422	0.0867641329
423	0.08670407955
424	0.08665273858
425	0.08658610488
426	0.08654659344
427	0.08650267753
428	0.08646839196
429	0.08643262792
430	0.08640577861
431	0.08634682075
432	0.08628454196
433	0.0862680334
434	0.08618670493
435	0.08611527134
436	0.08610254386
437	0.08605429576
438	0.08599730751
439	0.08593485972
440	0.08589112895
441	0.08580617134
442	0.08576965777
443	0.08574872078
444	0.08572360935
445	0.08566945379
446	0.08564077415
447	0.08561407696
448	0.08555742371
449	0.0854819205
450	0.08540971012
451	0.08537082187
452	0.08533634927
453	0.0852958462
454	0.08523394803
455	0.08517844604
456	0.08514906783
457	0.08511657276
458	0.08509545695
459	0.08504533665
460	0.08502273225
461	0.08494615384
462	0.0848821498
463	0.08483532104
464	0.08476614823
465	0.08476016499
466	0.08470399735
467	0.08463348293
468	0.08459176402
469	0.08448768504
470	0.08441039102
471	0.08434975868
472	0.08429687534
473	0.08420996127
474	0.08417471181
475	0.08414722425
476	0.08408750389
477	0.08407001302
478	0.08400725924
479	0.08390805497
480	0.08385927135
481	0.08385065521
482	0.0838164078
483	0.08380842816
484	0.08372287956
485	0.08370109966
486	0.08367607059
487	0.08360970357
488	0.08356110834
489	0.08350684162
490	0.08347039958
491	0.08345066966
492	0.0833774676
493	0.08334169375
494	0.08331925302
495	0.08325792612
496	0.08324525818
497	0.08320209465
498	0.08318597945
499	0.08311983496
